code,A,B,C,D
9756,0,0,1,0
9757,0,0,1,0
9758,0,0,1,0
9759,0,0,1,0
9761,0,0,1,0
9762,0,0,1,0
9764,0,0,1,0
9766,0,0,1,0
9768,0,0,1,0
9769,0,0,1,0
9770,0,0,1,0
9771,0,0,1,0
9772,0,0,1,0
9774,0,0,1,0
9775,0,0,1,0
9776,0,0,1,0
9777,0,0,1,0
9778,0,0,1,0
9779,0,0,1,0
9780,0,0,1,0
9781,0,0,1,0
9782,0,0,1,0
9783,0,0,1,0
9784,0,0,1,0
9785,0,0,1,0
9786,0,0,1,0
9787,0,0,1,0
9788,0,0,1,0
9789,0,0,1,0
9790,0,0,1,0
9791,0,0,1,0
9792,0,0,1,0
9793,0,0,1,0
9794,0,0,1,0
9795,0,0,1,0
9796,0,0,1,0
9797,0,0,1,0
9798,0,0,1,0
9799,0,0,1,0
9800,0,0,1,0
9801,0,0,0,1
9802,0,0,0,1
9803,0,0,0,1
9804,0,0,0,1
9805,0,0,0,1
9806,0,0,0,1
9807,0,0,0,1
9808,0,0,0,1
9809,0,0,0,1
9810,0,0,0,1
9812,0,0,0,1
9815,0,0,0,1
9816,0,0,0,1
9822,0,0,0,1
9823,0,0,0,1
9824,0,0,0,1
9825,0,0,0,1
9826,0,0,0,1
9827,0,0,0,1
9828,0,0,0,1
9830,0,0,0,1
9831,0,0,0,1
9832,0,0,0,1
9833,0,0,0,1
9834,0,0,0,1
9835,0,0,0,1
9836,0,0,0,1
9837,0,0,0,1
9839,0,0,0,1
9843,0,0,0,1
9846,0,0,0,1
9849,0,0,0,1
9850,0,0,0,1
9851,0,0,0,1
9852,0,0,0,1
9853,0,0,0,1
9854,0,0,0,1
9855,0,0,0,1
9856,0,0,0,1
9857,0,0,0,1
9858,0,0,0,1
9859,0,0,0,1
9860,0,0,0,1
9861,0,0,0,1
9862,0,0,0,1
9864,0,0,0,1
9867,0,0,0,1
9868,0,0,0,1
9870,0,0,0,1
9877,0,0,0,1
9878,0,0,0,1
9879,0,0,0,1
9880,0,0,0,1
9881,0,0,0,1
9882,0,0,0,1
9883,0,0,0,1
9885,0,0,0,1
9886,0,0,0,1
9887,0,0,0,1
9888,0,0,0,1
9890,0,0,0,1
9891,0,0,0,1
9892,0,0,0,1
9894,0,0,0,1
9895,0,0,0,1
9897,0,0,0,1
9898,0,0,0,1
9899,0,0,0,1
9900,0,0,0,1
9901,0,0,0,1
9902,0,0,0,1
9903,0,0,0,1
9904,0,0,0,1
9905,0,0,0,1
9906,0,0,0,1
9908,0,0,0,1
9910,0,0,0,1
9911,0,0,0,1
9912,0,0,0,1
9917,0,0,0,1
9918,0,0,0,1
9920,0,0,0,1
9925,0,0,0,1
9926,0,0,0,1
9927,0,0,0,1
9933,0,0,0,1
9935,0,0,0,1
9937,0,0,0,1
9945,0,0,0,1
9948,0,0,0,1
9949,0,0,0,1
9950,0,0,0,1
9952,0,0,0,1
9953,0,0,0,1
9955,0,0,0,1
9956,0,0,0,1
9957,0,0,0,1
9958,0,0,0,1
9959,0,0,0,1
9960,0,0,0,1
9962,0,0,0,1
9963,0,0,0,1
9964,0,0,0,1
9965,0,0,0,1
9966,0,0,0,1
9970,0,0,0,1
9975,0,0,0,1
9978,0,0,0,1
9982,0,0,0,1
9984,0,0,0,1
9986,0,0,0,1
9987,0,0,0,1
9988,0,0,0,1
9990,0,0,0,1
9991,0,0,0,1
9993,0,0,0,1
9995,0,0,0,1
9996,0,0,0,1
9997,0,0,0,1
9998,0,0,0,1
9999,0,0,0,1
10001,0,0,0,1
10002,0,0,0,1
10004,0,0,0,1
10005,0,0,0,1
10006,0,0,0,1
10008,0,0,0,1
10009,0,0,0,1
10010,0,0,0,1
10011,0,0,0,1
10012,0,0,0,1
10013,0,0,0,1
10014,0,0,0,1
10015,0,0,0,1
10017,0,0,0,1
10018,0,0,0,1
10020,0,0,0,1
10022,0,0,0,1
10023,0,0,0,1
10027,0,0,0,1
14312,0,0,0,1
14313,0,0,0,1
14314,0,0,0,1
14315,0,0,0,1
14318,0,0,0,1
14319,0,0,0,1
15560,0,0,0,1
15591,0,0,0,1
15592,0,0,0,1
15593,0,0,0,1
